ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: inline_featured_image,Meta: _wpcom_is_markdown,Meta: classic-editor-remember,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score,Meta: _product_url,Meta: _button_text,Download 1 ID,Download 1 name,Download 1 URL,Download 2 ID,Download 2 name,Download 2 URL
13,variable,woo-vneck-tee,Short Sleeve Dress,1,1,visible,This is a variable product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,Fashion > Women's Fashion,,,"https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/female2.jpg, https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/female2.jpg, https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/women.jpg",,,,,,,,,0,Color,"Gray, Whilte",1,1,Size,"Large, Medium, Small",1,1,0,1,classic-editor,,60,,,,,,,,
14,variable,woo-hoodie,Canvas Shoe,1,0,visible,This is a variable product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,Fashion > Shoes,,,"https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/shoe1.jpg, https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/shoe1.jpg, https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/shoes.jpg",,,,,,,,,0,Color,"Blue, Green, Red",1,1,Logo,"Yes, No",1,0,0,1,classic-editor,,60,,,,,,,,
15,simple,woo-hoodie-with-logo,High Heel Shoe,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,45,Fashion > Shoes,"Fasion, Wear",,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/shoe3.jpg,,,,,,,,,0,Color,Blue,1,1,,,,,0,1,classic-editor,,60,,,,,,,,
16,simple,woo-tshirt,Black Coat,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,18,Fashion > Women's Fashion,"Fasion, Wear",,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/female10.jpg,,,,,,,,,0,Color,Black,1,1,Size,"Large, Medium",1,1,0,1,classic-editor,,60,,,,,,,,
17,simple,woo-beanie,Complete Suit,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,18,20,Fashion > Men's Fashion,Wear,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/male3.jpg,,,,,,,,,0,Color,Blue,1,1,Size,"Large, Medium, Small",1,1,0,1,classic-editor,,60,,,,,,,,
18,simple,woo-belt,Stylish Coat,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,55,65,Fashion > Men's Fashion,Wear,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/male6.jpg,,,,,,,,,0,Color,"Whilte, Yellow",1,1,Size,"Large, Medium, Small",1,1,0,1,classic-editor,,60,,,,,,,,
19,simple,woo-cap,Yellow Hoodie,1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,16,18,Fashion > Men's Fashion,Wear,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/male5.jpg,,,,,,,,,0,Color,"Black, Yellow",1,1,Size,"Large, Medium, Small",1,1,0,1,classic-editor,,60,,,,,,,,
20,simple,woo-sunglasses,Brown Coat,1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,90,Fashion > Men's Fashion,"Fasion, Wear",,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/male4.jpg,,,,,,,,,0,Color,Yellow,1,1,Size,"Large, Medium, Small",1,1,0,1,classic-editor,,60,,,,,,,,
21,simple,woo-hoodie-with-pocket,Casual Shoe,1,1,hidden,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,35,45,Fashion > Shoes,,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/shoes.jpg,,,,,,,,,0,Size,"Large, Medium, Small",1,1,,,,,0,1,classic-editor,,60,,,,,,,,
22,simple,woo-hoodie-with-zipper,Brown Sleeper,1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,45,Fashion > Shoes,Fasion,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/group-shoe.jpg,,,,,,,,,0,Size,"Large, Medium, Small",1,1,,,,,0,1,classic-editor,,60,,,,,,,,
23,simple,woo-long-sleeve-tee,Sleeveless Dress,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,25,Fashion > Women's Fashion,Wear,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/female5.jpg,,,,,,,,,0,Color,Black,1,1,Size,"Large, Medium",1,1,0,1,classic-editor,,60,,,,,,,,
24,simple,woo-polo,Long Coat,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,20,Fashion > Women's Fashion,Wear,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/female4.jpg,,,,,,,,,0,Color,Gray,1,1,Size,"Large, Medium, Small",1,1,0,1,classic-editor,,60,,,,,,,,
25,"simple, downloadable, virtual",woo-album,Backpack,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,1,,,15,Accessories,Fasion,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/bag1-3.jpg,1,1,,,,,,,0,Size,"Large, Medium, Small",1,1,,,,,0,1,classic-editor,,60,,,449dfe46-3045-49a9-92f4-b15ffdc8022f,Single 1,,,Single 2,
26,"simple, downloadable, virtual",woo-single,Table Clock,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,1,,2,3,Accessories,Gadgets,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/clock1.jpg,1,1,,,,,,,0,,,,,,,,,0,1,classic-editor,,60,,,82702e3d-aaa7-413f-a956-96f57b8fdef1,Single,,,,
27,variation,woo-vneck-tee-red,Short Sleeve Dress - Red,1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,20,,,,,,,woo-vneck-tee,,,,,,0,Color,Red,,1,Size,,,1,0,,,,,,,,,,,,
28,variation,woo-vneck-tee-green,Short Sleeve Dress - Green,1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,20,,,,,,,woo-vneck-tee,,,,,,0,Color,Green,,1,Size,,,1,0,,,,,,,,,,,,
29,variation,woo-vneck-tee-blue,Short Sleeve Dress - Blue,1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,15,,,,,,,woo-vneck-tee,,,,,,0,Color,Blue,,1,Size,,,1,0,,,,,,,,,,,,
30,variation,woo-hoodie-red,"Canvas Shoe - Red, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,42,45,,,,,,,woo-hoodie,,,,,,1,Color,Red,,1,Logo,No,,0,0,,,,,,,,,,,,
31,variation,woo-hoodie-green,"Canvas Shoe - Green, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45,,,,,,,woo-hoodie,,,,,,2,Color,Green,,1,Logo,No,,0,0,,,,,,,,,,,,
