ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: inline_featured_image,Meta: _wpcom_is_markdown,Meta: classic-editor-remember,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score,Meta: _product_url,Meta: _button_text,Download 1 ID,Download 1 name,Download 1 URL,Download 2 ID,Download 2 name,Download 2 URL
32,variation,woo-hoodie-blue,"Canvas Shoe - Blue, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45,,,,,,,woo-hoodie,,,,,,3,Color,Blue,,1,Logo,No,,0,0,,,,,,,,,,,,
33,simple,Woo-tshirt-logo,Corsage Dress,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,18,Fashion > Women's Fashion,Wear,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/female6.jpg,,,,,,,,,0,Color,Gray,1,1,Size,"Large, Medium",1,1,0,1,classic-editor,,60,,,,,,,,
34,simple,Woo-beanie-logo,Jeans Shirt,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,18,20,Fashion > Men's Fashion,Wear,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/male9.jpg,,,,,,,,,0,Color,Blue,1,1,Size,"Large, Medium, Small",1,1,0,1,classic-editor,,60,,,,,,,,
35,grouped,logo-collection,Dress Collection,1,0,visible,This is a grouped product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,Fashion,Wear,,"https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/group-shirt.jpg, https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/group-product.jpg, https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/group-shoe.jpg, https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/group-skert.jpg",,,,"woo-hoodie-with-logo, woo-tshirt, woo-beanie",,,,,0,Size,"Large, Medium, Small",1,1,,,,,0,1,classic-editor,,60,,,,,,,,
36,simple,wp-pennant,Hanging Light,1,0,visible,This is an external product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,12,Interior,Decoration,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/interior4.jpg,,,,,,,,,0,,,,,,,,,0,1,classic-editor,,60,https://mercantile.wordpress.org/product/wordpress-pennant/,Buy on the WordPress swag store!,,,,,,
37,variation,woo-hoodie-blue-logo,"Canvas Shoe - Blue, Yes",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45,,,,,,,woo-hoodie,,,,,,0,Color,Blue,,1,Logo,Yes,,0,0,,,,,,,,,,,,
38,"simple, downloadable, virtual",woo-single-1,Exclusive Mug,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,1,,2,3,Accessories,,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/household1.jpg,1,1,,,,,,,0,,,,,,,,,0,1,classic-editor,,60,,,45e730b3-bcac-4a4c-9d9e-ed5e27b30108,Single,,,,
39,"simple, downloadable, virtual",woo-album-1,Black Smart Watch,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,1,,,15,Accessories,"Fasion, Gadgets",,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/clock2.jpg,1,1,,,,,,,0,Color,Black,1,1,,,,,0,1,classic-editor,,60,,,8da7de2f-b91f-45ee-b39f-2f827b6df5e6,Single 1,,,Single 2,
40,"simple, downloadable, virtual",woo-album-1-1,Glass Frame,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,1,,,15,Accessories,Fasion,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/glass-frame.jpg,1,1,,,,,,,0,,,,,,,,,0,1,classic-editor,,60,,,2b8c0ff5-d8c9-43bf-a270-62ba2aa9b168,Single 1,,,Single 2,
41,"simple, downloadable, virtual",woo-album-1-3,Desktop Mic,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,1,,5,10,Accessories,Gadgets,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/music2.jpg,1,1,,,,,,,0,,,,,,,,,0,1,classic-editor,,60,,,6460b4b7-54ac-410e-88ed-ddc2af8913d1,Single 1,,,Single 2,
42,"simple, downloadable, virtual",woo-single-2,Multipurpose Screw Driver,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,1,,2,3,Accessories,,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/pen1.jpg,1,1,,,,,,,0,,,,,,,,,0,1,classic-editor,,60,,,16ae5d1f-ce89-475e-b06e-7e981c376211,Single,,,,
56,"simple, downloadable, virtual",woo-album-1-1-1,Mini Speaker,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,1,,,8,Accessories,Gadgets,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/household3.jpg,1,1,,,,,,,0,Color,Whilte,1,1,,,,,0,1,classic-editor,,60,,,1eac900a-0ce3-4e1b-94c6-5d41082fd347,Single 1,,,Single 2,
57,simple,Woo-tshirt-logo-1,Sweater,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,10,13,Fashion > Women's Fashion,Wear,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/female1-1.jpg,,,,,,,,,0,Color,Gray,1,1,Size,"Large, Medium",1,1,0,1,classic-editor,,60,,,,,,,,
58,simple,woo-polo-1,Sun Dress,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,20,Fashion > Women's Fashion,Wear,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/female11.jpg,,,,,,,,,0,Color,Black,1,1,Size,"Large, Medium, Small",1,1,0,1,classic-editor,,60,,,,,,,,
59,simple,Woo-tshirt-logo-1-1,Over Coat,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,12,Fashion > Women's Fashion,Wear,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/female7.jpg,,,,,,,,,0,Size,Large,1,1,,,,,0,1,classic-editor,,60,,,,,,,,
60,simple,wp-pennant-1,Stylish Light,1,0,visible,This is an external product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,11.05,Interior,Decoration,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/interior1.jpg,,,,,,,,,0,Color,"Blue, Red, Yellow",1,1,,,,,0,1,classic-editor,,60,https://mercantile.wordpress.org/product/wordpress-pennant/,Buy on the WordPress swag store!,,,,,,
61,simple,wp-pennant-1-1,Black Holder Light,1,0,visible,This is an external product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,10,Interior,Decoration,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/interior7.jpg,,,,,,,,,0,Color,Black,1,1,,,,,0,1,classic-editor,,60,https://mercantile.wordpress.org/product/wordpress-pennant/,Buy on the WordPress swag store!,,,,,,
62,simple,wp-pennant-1-2,Multi Dimension Light,1,0,visible,This is an external product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,14,Interior,Decoration,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/interior5.jpg,,,,,,,,,0,,,,,,,,,0,1,classic-editor,,60,https://mercantile.wordpress.org/product/wordpress-pennant/,Buy on the WordPress swag store!,,,,,,
63,simple,woo-sunglasses-1,Men's Sweater,1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,90,Fashion > Men's Fashion,Wear,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/male8.jpg,,,,,,,,,0,Color,Black,1,1,Size,Medium,1,1,0,1,classic-editor,,60,,,,,,,,
64,simple,woo-beanie-1,White Shirt,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,10,13,Fashion > Men's Fashion,Wear,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/male7.jpg,,,,,,,,,0,Color,Whilte,1,1,Size,"Large, Medium, Small",1,1,0,1,classic-editor,,60,,,,,,,,
65,simple,woo-sunglasses-2,Winter T-shirt,1,1,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,90,Fashion > Men's Fashion,Wear,,https://raw.githubusercontent.com/sayedulsayem/woocommerce-sample-product-data/master/img/male1.jpg,,,,,,,,,0,Size,Medium,1,1,,,,,0,1,classic-editor,,60,,,,,,,,
